Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO
01-01-2018,1093.157471,392.1149292,342.7355347,507.0388489,9019.640625,6861.709961,940.6807861,305.1298828,658.1945801,222.9068909
01-02-2018,1081.366211,383.5719604,304.4271851,517.4381104,8411.957031,7137.058594,932.1660767,262.2019043,627.0609131,214.9349823
01-03-2018,1083.154053,358.036377,270.3429871,499.8780823,8402.476563,7539.487793,863.9993286,244.0063324,532.9598999,206.6033325
01-04-2018,1159.942383,367.5954285,276.217926,528.5206299,8364.22168,8646.398438,942.5892334,240.2989197,555.1782227,204.6213226
01-05-2018,1261.859497,335.5076599,277.3346558,542.8419189,8091.335449,8877.488281,901.6794434,262.6409607,537.2074585,192.2522888
01-06-2018,1221.750122,341.9700928,267.5269165,575.8248291,8362.707031,9078.561523,952.2294922,252.9821625,530.1126099,191.8852539
01-07-2018,1406.413818,350.6764221,295.1535339,606.2437744,9012.292969,9752.982422,1167.686646,286.2513123,525.4447632,203.1898956
01-08-2018,1331.446533,344.0793152,336.4567566,639.553833,8624.40918,10715.02637,1221.942505,301.3248901,562.6553955,221.4314728
01-09-2018,1256.625,305.5538635,300.8266602,646.5266724,7092.515137,8999.901367,1238.928345,258.5432739,542.7358398,237.9846802
01-10-2018,1191.756958,263.9100037,350.2411194,609.574707,6376.94873,9386.017578,1045.142822,273.6656494,516.5974121,243.343399
01-11-2018,1309.141113,283.2414246,350.1424866,598.4750977,7395.541504,9939.466797,1150.306885,277.421814,495.8830261,238.4618378
01-12-2018,1337.175293,284.9663696,355.0740662,592.5037842,7200.342285,10299.52832,1103.87915,288.4465027,488.0274048,242.4258118
01-01-2019,1375.089844,279.7296753,359.2659302,673.0936279,6395.37793,10685.95996,1208.30481,286.2025757,445.1023254,271.091156
01-02-2019,1367.691895,289.5655212,344.0273132,662.6647949,6592.409668,9900.758789,1212.686768,263.1775513,468.8092957,272.3718872
01-03-2019,1452.232788,303.1808777,393.3925171,670.2037354,6437.496094,10242.91113,1342.172485,312.9837036,487.0922546,250.0422516
01-04-2019,1424.101074,317.663147,402.1707458,677.1107788,6424.952637,10158.08301,1370.482056,302.6419983,520.3848267,292.8856201
01-05-2019,1369.297852,345.7389221,417.6065674,665.2830811,6622.707031,10726.10352,1309.382568,343.9601135,456.277832,281.2546082
01-06-2019,1321.552124,343.9532166,431.2670593,660.8589478,6304.629395,11181.44043,1232.823364,352.1066895,471.7084045,275.2182617
01-07-2019,1488.791626,335.1236877,418.6914978,727.0071411,5280.055176,10947.92676,1148.140625,323.9595947,403.9073181,260.4463501
01-08-2019,1580.736816,344.3003845,406.7619019,745.8690186,5906.706543,12053.1123,1229.229248,267.031311,323.4163818,249.6496582
01-09-2019,1726.068237,364.3403931,429.5580139,737.3536377,6571.939941,13251.15527,1319.384766,264.29953,337.339386,235.368576
01-10-2019,1772.114746,371.4337158,458.7469482,627.6617432,7393.958984,14250.19336,1449.67981,304.6420288,356.7471924,254.4100647
01-11-2019,1670.726318,438.7957764,507.4117126,652.0487061,7092.672852,13768.77246,1535.519897,333.520874,400.7194519,233.3073425
01-12-2019,1751.958618,452.1888123,533.9740601,685.5903931,7207.776855,14086.89453,1499.084839,325.5694275,442.5352783,241.404892
01-01-2020,1760.194702,492.764801,520.8911133,727.3768921,6762.133789,14687.39453,1397.700439,310.7885437,411.3609009,232.4239807
01-02-2020,1763.086792,519.8980713,491.6526184,685.2156372,6148.01709,15079.13281,1303.073975,295.5198364,357.7316284,217.8900604
01-03-2020,1634.154663,437.1092529,321.6233826,599.9091187,4194.964844,15587.66504,1091.035645,192.1513214,252.9107819,193.7457428
01-04-2020,1732.608398,510.2749329,376.5322876,671.0213013,5244.305176,17121.05664,1438.809814,185.76091,279.8191833,187.734314
01-05-2020,1658.137817,548.0234985,329.1560059,647.7388306,5490.559082,16765.125,1450.669678,156.3943024,276.7720642,209.4641876
01-06-2020,1661.041626,555.2161255,348.3345032,698.8659668,5712.744629,16547.88086,1686.458008,174.0532837,306.2587891,216.510376
01-07-2020,1689.884888,550.4540405,343.8248291,917.6237183,6124.977051,15979.07813,2046.452271,186.7853394,343.5274048,276.5262146
01-08-2020,1875.380493,509.8781433,391.4984131,881.7733765,6689.930664,15417.95215,2065.663086,206.9809723,387.4058838,267.4597778
01-09-2020,1958.291748,419.0373535,351.7539063,957.272644,6656.271484,15397.26074,2219.901123,180.8827362,338.1468506,309.0471497
01-10-2020,2180.471924,431.6811523,389.0701294,1007.225586,6866.882324,16594.35547,2041.613281,184.6389465,385.708313,335.7044373
01-11-2020,2188.043457,461.2496948,468.6087341,1056.381836,6936.477051,17208.46289,1917.88501,238.3476563,543.1497803,345.4114075
01-12-2020,2727.912354,507.0461426,530.059082,1205.448975,7551.477539,17924.52344,1972.345337,268.0557251,604.90448,380.642395
01-01-2021,2375.532471,550.7518921,532.239624,1189.899414,7115.399902,16634.54102,1831.722656,275.1778564,565.0507202,411.9807434
01-02-2021,2247.348877,554.6345825,592.3024292,1202.089478,6784.404785,15688.24023,2070.93042,380.6928101,671.8759155,405.1533203
01-03-2021,2503.222168,515.0107422,576.0973511,1312.858276,6771.67041,16733.50781,1990.780273,355.4726563,763.1920166,409.104126
01-04-2021,2506.527832,534.9222412,595.0776367,1299.563965,6376.855469,15896.21191,1982.084473,344.8382263,971.8607788,486.3420105
01-05-2021,2938.788086,532.5826416,656.3297729,1337.718872,6996.348145,17336.53711,2147.05542,413.9131775,1058.054199,532.2699585
01-06-2021,2951.320557,522.7264404,625.2576904,1534.171265,7417.322266,17320.9082,2097.8125,409.0349731,1096.780029,538.9368896
01-07-2021,2933.896729,559.4133911,676.6480103,1562.307861,6889.09375,17368.1875,2029.288696,425.0707092,1350.608887,579.3829956
01-08-2021,3174.078613,660.7628784,714.5629272,1653.412109,6756.369141,19066.40039,2252.516357,419.4582214,1365.963745,633.3607788
01-09-2021,3217.364746,685.1046753,696.6206055,1625.518188,7286.791504,19059.19727,2509.442627,446.092804,1213.828979,626.5455322
01-10-2021,3074.267334,683.2130737,797.5152588,1618.920532,7434.419434,18619.48242,2529.980957,494.6849976,1240.299438,638.4967651
01-11-2021,3121.880615,725.5249634,710.0401001,1678.145874,7039.769531,18884.55273,2399.523682,453.526886,1009.459473,629.1630249
01-12-2021,3357.729492,680.8236694,735.8353271,1849.635986,7378.289063,19426.12695,2361.039551,453.3792114,1047.045776,706.4009399
01-01-2022,3132.107178,726.1721191,784.5430908,1699.924683,8538.345703,18262.15039,2379.185059,530.0828857,1022.506348,565.6047363
01-02-2022,3149.928467,683.2130737,738.0222168,1680.935547,8257.943359,17350.80078,2352.016846,475.8782959,1150.101807,549.9050293
01-03-2022,3059.679443,752.0570679,725.8949585,1866.814331,7510.418457,17127.79102,2626.041504,485.8231812,1231.256104,585.668396
01-04-2022,3216.101318,736.4265137,739.1156616,1534.699219,7682.137207,18046.58398,2782.420654,488.8756104,1197.955933,503.5561218
01-05-2022,2839.616943,697.9973145,747.0182495,1472.103271,7918.08252,17664.92188,2625.991455,460.6163025,994.34021,477.0744934
01-06-2022,2678.181396,680.8734741,702.6345215,1445.397949,8414.760742,17389.70898,2586.26123,465.7999878,816.6768799,415.0273743
01-07-2022,3327.54834,674.9000244,813.6186523,1532.842041,8715.032227,19237.96484,2501.217529,528.2000122,107.6500015,422.6585999
01-08-2022,3386.712891,723.2849121,882.3065796,1477.05188,9032.391602,19812.89648,2631.176025,531.1500244,108.3000031,412.4337769
01-09-2022,3337.333984,799.75,862.7999878,1397.818237,8823.549805,19011.51172,2377.699951,531.0499878,99.30000305,393.3308411
01-10-2022,3102.323242,832,908.5499878,1521.268555,9525.549805,20247.46094,2549.550049,573.7999878,101.5500031,385.4502563
01-11-2022,3182.300049,848.6500244,953.4000244,1632.400024,8976.950195,20105.84961,2732.399902,602.5,107.6999969,405.9497681
01-12-2022,3091.800049,806.7000122,890.9500122,1508.699951,8402.650391,19598.80078,2548.199951,613.2000122,112.6500015,391.8345032
